Lee 2002, 10.1080/01677060216292,"Gyunghee Lee, Jeffrey C. Hall, and Jae H. Park. (2002): Doublesex Gene Expression in the Central Nervous System of Drosophila melanogaster"
Kimura 2008, 10.1016/j.bbrc.2008.05.003,"Shuhei Kimura, Shun Sawatsubashi, Saya Ito, Alexander Kouzmenko, Eriko Suzuki, Yue Zhao, Kaoru Yamagata, Masahiko Tanabe, Takashi Ueda, Sari Fujiyama, Takuya Murata, Hiroyuki Matsukawa, Ken-ichi Takeyama, Nobuo Yaegashi, and Shigeaki Kato (2008): Drosophila arginine methyltransferase 1 (DART1) is an ecdysone receptor co-repressor"
Busch 2009, 10.1002/cne.21966,"Sebastian Busch, Mareike Selcho, Kei Ito, Hiromu Tanimoto (2009): A map of octopaminergic neurons in the Drosophila brain"
Cachero 2010, 10.1016/j.cub.2010.07.045,"Sebastian Cachero, Aaron D. Ostrovsky, Jai Y. Yu, Barry J. Dickson, and Gregory S.X.E. Jefferis (2010): Sexual dimorphism in the fly brain"
Rideout 2010, 10.1038/nn.2515,"Elizabeth J. Rideout, Anthony J. Dornan, Megan C. Neville, Suzanne Eadie, and Stephen F. Goodwin (2010): Control of sexual differentiation and behavior by the doublesex gene in Drosophila melanogaster"
Robinett 2010,10.1371/journal.pbio.1000365,"Carmen C. Robinett, Alexander G. Vaughan, Jon-Michael Knapp, Bruce S. Baker (2010): Sex and the Single Cell. II. There Is a Time and Place for Sex"
Yu 2010, 10.1371/journal.pbio.1000461,"Hung-Hsiang Yu, Chih-Fei Kao, Yisheng He, Peng Ding, Jui-Chun Kao, and Tzumin Lee (2010): A Complete Developmental Sequence of a Drosophila Neuronal Lineage as Revealed by Twin-Spot MARCM"
Kohatsu 2010, 10.1016/j.neuron.2010.12.017,"Soh Kohatsu, Masayuki Koganezawa, Daisuke Yamamoto (2010): Female Contact Activates Male-Specific Interneurons that Trigger Stereotypic Courtship Behavior in Drosophila"
Ruta 2010, 10.1038/nature09554,"Vanessa Ruta, Sandeep Robert Datta, Maria Luisa Vasconcelos, Jessica Freeland, Loren L. Looger, and Richard Axel (2010): A dimorphic pheromone circuit in Drosophila from sensory input to descending output"
Asahina 2014, 10.1016/j.cell.2013.11.045,"Kenta Asahina, Kiichi Watanabe, Brian J. Duistermars, Eric Hoopfer, Carlos Roberto González, Eyrún Arna Eyjólfsdóttir, Pietro Perona, and David J. Anderson (2014): Tachykinin-Expressing Neurons Control Male-Specific Aggressive Arousal in Drosophila"
Feng 2014,10.1016/j.neuron.2014.05.017,"Kai Feng, Mark T. Palfreyman, Martin Häsemeyer, Aaron Talsma, and Barry J. Dickson (2014): Ascending SAG Neurons Control Sexual Receptivity of Drosophila Females"
von Philipsborn 2014, 10.1016/j.cub.2013.12.015,"Anne C. von Philipsborn, Sabrina Jörchel, Laszlo Tirian, Ebru Demir, Tomoko Morita, David L. Stern, and Barry J. Dickson (2014): Cellular and Behavioral Functions of fruitless Isoforms in Drosophila Courtship"
Zhou 2014, 10.1117/1.JBO.19.9.090506,"Qingping Tian, Jing Yuan, Yuxin Li, Tao Jiang, Hui Gong, Wei Zhou (2014): Fast and automatic imaging of immunoenzyme-stained neuronal circuits in the whole brain of Drosophila"
Vaughan 2014,10.1016/j.cub.2014.03.048,"Alexander G. Vaughan, Chuan Zhou, Devanand S. Manoli, and Bruce S. Baker (2014): Neural Pathways for the Detection and Discrimination of Conspecific Song in D. melanogaster"
Pool 2014,10.1016/j.neuron.2014.05.006,"Allan-Hermann Pool, Pal Kvello, Kevin Mann, Samantha K. Cheung, Michael D. Gordon, Liming Wang, and Kristin Scott (2014): Four GABAergic Interneurons Impose Feeding Restraint in Drosophila"
Tanaka 2012,10.1002/cne.23142,"Nobuaki K. Tanaka, Keita Endo, and Kei Ito (2012): Organization of antennal lobe‐associated neurons in adult Drosophila melanogaster brain"
Hampel 2015,10.7554/eLife.08758,"Stefanie Hampel, Romain Franconville, Julie H.Simpson, and Andrew M. Seeds (2015): A neural command circuit for grooming movement control"
Kallman 2015,10.7554/eLife.11188,"Benjamin R. Kallman, Heesoo Kim, and Kristin Scott (2015): Excitation and inhibition onto central courtship neurons biases Drosophila mate choice"
Kimura 2015,10.1371/journal.pone.0126445,"Ken-ichi Kimura, Chiaki Sato, Masayuki Koganezawa, and Daisuke Yamamoto (2015): Drosophila Ovipositor Extension in Mating Behavior and Egg Deposition Involves Distinct Sets of Brain Interneurons"
Zhou 2015,10.7554/eLife.08477,"Chuan Zhou, Romain Franconville, Alexander G. Vaughan, Carmen C. Robinett, Vivek Jayaraman, and Bruce S. Baker (2015): Central neural circuitry mediating courtship song perception in male Drosophila"
Matsuo 2016,10.1002/cne.23955,"Eriko Matsuo, Haruyoshi Seki, Tomonori Asai, Takako Morimoto, Hiroyoshi Miyakawa, Kei Ito, Azusa Kamikouchi (2016): Organization of projection neurons and local neurons of the primary auditory center in the fruit fly Drosophila melanogaster"
Suver 2016,10.1523/JNEUROSCI.2277-16.2016,"Marie P. Suver, Ainul Huda, Nicole Iwasaki, Steve Safarik, Michael H. Dickinson (2016): An Array of Descending Visual Interneurons Encoding Self-Motion in Drosophila"
Kim 2017,10.7554/eLife.23386,"Heesoo Kim, Colleen Kirkhart, and Kristin Scott (2017): Long-range projection neurons in the taste circuit of Drosophila"
Kennedy and Broadie 2018,10.1523/ENEURO.0346-18.2018,"Tyler Kennedy and Kendal Broadie (2018): Newly Identified Electrically Coupled Neurons Support Development of the Drosophilal Giant Fiber Model Circuit"
Scheunemann 2018,10.1016/j.neuron.2018.03.032,"Lisa Scheunemann, Pierre-Yves Plaçais, Yann Dromard, Martin Schwärzel, and Thomas Preat (2018): Dunce Phosphodiesterase Acts as a Checkpoint for Drosophila Long-Term Memory in a Pair of Serotonergic Neurons"
Carreira-Rosario 2018,10.7554/eLife.38554,"Arnaldo Carreira-Rosario, Aref Arzan Zarin, Matthew Q Clark, Laurina Manning, Richard D Fetter, Albert Cardona, and Chris Q Doe (2018): MDN brain descending neurons coordinately activate backward and inhibit forward locomotion"
McKellar 2019, 10.1016/j.cub.2018.12.019,"Claire E. McKellar, Joshua L. Lillvis, Daniel E. Bath, James E. Fitzgerald, John G. Cannon, Julie H. Simpson, and Barry J. Dickson (2019): Threshold-Based Ordering of Sequential Actions during Drosophila Courtship"
Sen 2019,10.1016/j.cub.2019.11.004,"Rajyashree Sen, Kaiyu Wang, and Barry J. Dickson (2019): TwoLumps Ascending Neurons Mediate Touch-Evoked Reversal of Walking Direction in Drosophila"
